Element, g_debug
0,  53663.54688
1, -8272.62305
2, -13012.40039
3,  8012.66113
4, -748.28284
5, -2111.80151
6,  9265.10254
7, -2280.40991
8, -1997.85425
9,  2220.1853
10, -460.82925
11, -608.25867
12,  29291.18945
13, -2057.18652
14, -2857.29321
15,  13633.55859
16, -672.55902
17, -3031.17651
18,  27204.16211
19, -7381.39746
20,  123.93588
21,  19629.76172
22,  1124.84314
23, -4499.0918
24,  19072.82813
25, -2904.32324
26, -2396.1687
27,  35392.38281
28, -5552.77441
29, -804.61896
30,  10434.08398
31, -678.1615
32, -983.70758
33,  23300.45703
34, -8420.53809
35,  767.36383
36,  11599.66602
37, -2751.13965
38, -2117.67285
39,  10376.79492
40,  111.28607
41, -2508.16895
42,  18446.23438
43, -7444.52344
44, -2104.23926
45,  12320.2002
46, -1690.01013
47, -2435.31274
48,  25519.30273
49, -6805.27197
50, -178.76868
51,  17680.84766
52,  124.22749
53, -3145.63037
54,  11147.35938
55, -1960.22192
56, -1070.92749
57,  33594.98047
58, -6808.68799
59, -4370.18555
60,  18253.55078
61, -6298.86523
62, -2175.71045
63,  14023.32227
64, -293.17313
65, -2034.35376
66,  41952.56641
67, -5630.99902
68, -2671.8457
69,  38758.14453
70, -7213.05371
71,  1618.8501
72,  14090.7793
73, -4205.33057
74,  825.07288
75,  3821.5791
76, -430.47302
77, -390.5509
78,  9388.69336
79, -1901.54419
80, -1834.73645
81,  39895.51953
82, -7766.27197
83,  1581.69421
84,  34329.70313
85, -10331.16211
86, -4049.80566
87,  4448.95557
88, -459.24695
89, -1337.08911
90,  11407.62305
91, -1514.91992
92, -3382.27808
93,  7105.06299
94, -975.13873
95, -402.93011
96,  3416.43555
97, -886.85461
98, -29.22745
99,  14076.44336
100, -3666.25317
101, -734.89258
102,  10237.41309
103, -2578.50464
104, -134.02834
105,  4668.36768
106, -575.99762
107, -96.78061
108,  20580.7168
109, -4796.55957
110, -3764.61401
111,  42123.11328
112, -8492.00
113, -6514.68652
114,  16761.64453
115, -4380.97949
116,  1256.30811
117,  17810.68945
118, -4557.93848
119,  971.17725
120,  24266.42383
121, -9239.79883
122, -1838.31396
123,  17641.19141
124, -6365.99561
125,  120.20203
126,  5579.2876
127,  253.39061
128, -945.43372
129,  31074.50391
130,  2184.54468
131, -10280.89258
132,  20890.5293
133,  702.03619
134, -4167.46533
135,  17444.625
136, -1446.11218
137, -30.61645
138,  5436.25684
139,  245.64812
140, -1532.74207
141,  19034.1875
142, -3828.61279
143,  676.07208
144,  37392.15234
145, -8019.32568
146, -8975.15234
147,  26527.31641
148, -4910.40918
149, -4716.90039
150,  29581.13086
151, -4132.86328
152,  3217.15796
153,  33569.32422
154,  304.63104
155, -1883.68103
156,  7878.88867
